Year Month Day Hour Minute Second VelocityE VelocityN VelocityU StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage Speed Direction 
2015 11 05 21 00 00    1.01    2.58    4.06  25.5  25.5  25.5   1.7   5.2   3.9  39  47  44  35  35  35  120.5   0.0   0.0  2.7  0.0  0.1  26.05     0.0000    0.000   9.8    2.77    21.4
2015 11 05 21 15 00    1.13   -1.10    0.29  25.5  20.3  25.5   2.6   6.0   4.3  41  49  45  35  35  35  120.6   0.0   0.0  2.1  0.0  0.0  25.98     0.0000    0.000   9.8    1.58   134.2
2015 11 05 21 30 00   -4.66    3.12    6.57  25.5  25.5  25.5   2.6   5.6   4.3  41  48  45  35  35  35  120.6   0.0   0.0  2.0  0.0  0.0  25.93     0.0000    0.000   9.8    5.61   303.8
2015 11 05 21 45 00    3.34   -3.16   -2.42  25.5  25.5  25.5   2.2   4.7   3.4  40  46  43  35  35  35  120.6   0.0   0.0  2.0  0.0  0.0  25.86     0.0000    0.000   9.8    4.60   133.4
2015 11 05 22 00 00   -0.55   -0.56    0.41  25.5  20.5  25.5   1.7   4.7   3.4  39  46  43  35  35  35  120.6   0.0   0.0  2.1  0.0  0.0  25.81     0.0000    0.000   9.8    0.78   224.5
2015 11 05 22 15 00   -0.77   -0.07    1.93  25.5  21.2  25.5   1.7   5.2   3.4  39  47  43  35  35  35  120.6   0.0   0.0  2.0  0.0  0.0  25.75     0.0000    0.000   9.8    0.77   264.8
2015 11 05 22 30 00   -0.59    0.03   -0.51  25.5  18.9  25.5   2.6   6.0   5.2  41  49  47  35  35  35  120.5   0.0   0.0  2.7  0.0  0.1  25.72     0.0000    0.000   9.8    0.59   272.9
2015 11 05 22 45 00   -1.25    0.40    3.45  25.5  20.3  25.5   3.0   7.7   5.2  42  53  47  35  35  35  120.6   0.0   0.0  2.1  0.0  0.1  25.68     0.0000    0.000   9.8    1.31   287.7
2015 11 05 23 00 00    2.01   -1.80   -2.53  25.5  18.7  25.5   2.6   6.9   4.7  41  51  46  35  35  35  120.5   0.0   0.0  1.5  0.0  0.1  25.62     0.0000    0.000   9.8    2.70   131.8
2015 11 05 23 15 00    0.50   -0.50    0.48  25.5  25.5  25.5   2.2   6.5   4.7  40  50  46  35  35  35  120.5   0.0   0.0  1.5  0.0  0.0  25.59     0.0000    0.000   9.8    0.71   135.0
2015 11 05 23 30 00   -0.73    0.46    1.49  25.5  23.9  25.5   2.6   6.0   4.7  41  49  46  35  35  35  120.5   0.0   0.0  1.5  0.0  0.1  25.54     0.0000    0.000   9.8    0.86   302.2
2015 11 05 23 45 00    0.99   -1.10   -0.96  20.7  14.8  25.5   2.2   7.3   5.2  40  52  47  35  35  35  120.5   0.0   0.0  2.7  0.0  0.1  25.50     0.0000    0.000   9.8    1.48   138.0
